,0,1,2,3,4
0,5.33E+12,5.36E+12,5.52E+12,5.57E+12,5.74E+12
1,5.32E+12,5.36E+12,5.49E+12,5.57E+12,5.75E+12
2,5.40E+12,5.38E+12,5.47E+12,5.65E+12,5.72E+12
3,5.31E+12,5.46E+12,5.32E+12,5.65E+12,5.71E+12
4,5.38E+12,5.45E+12,5.47E+12,5.50E+12,5.54E+12
5,4.98E+12,5.11E+12,5.29E+12,5.22E+12,5.29E+12
