,1,2,3,4,5
1,4.69518E+12,4.68371E+12,4.65725E+12,4.67365E+12,4.6769E+12
2,4.66356E+12,4.66169E+12,4.6695E+12,4.68817E+12,4.68926E+12
3,4.65078E+12,4.65764E+12,4.66296E+12,4.75585E+12,4.65287E+12
4,4.65986E+12,4.67829E+12,4.62633E+12,4.66466E+12,4.6612E+12
5,4.67123E+12,4.68047E+12,4.66388E+12,4.68581E+12,4.65845E+12
6,4.81134E+12,4.81694E+12,4.79488E+12,4.8196E+12,4.84465E+12
