"","nleaf","L1","L2","MSE"
"385",30,0,10000,4786519395568.2
"386",30,0,20000,4787217578341.98
"387",30,1e+05,0,6163110410378.97
"388",30,1e+05,100,5035793776960.69
"389",30,1e+05,500,4916565474162.45
"390",30,1e+05,1000,4698204674438.67
"391",30,1e+05,5000,4898998768873.97
"392",30,1e+05,10000,4813200912266.13
"393",30,1e+05,20000,4789058063135.81
"394",30,5e+05,0,5864649235410.92
"395",30,5e+05,100,5035220844990.17
"396",30,5e+05,500,4899611476450.1
"397",30,5e+05,1000,4698103349018.49
"398",30,5e+05,5000,4809738748197.96
"399",30,5e+05,10000,4769720507483.28
"400",30,5e+05,20000,4857093632925.26
"401",30,1e+06,0,5946130284629.03
"402",30,1e+06,100,4895167504137.96
"403",30,1e+06,500,4876430472953.81
"404",30,1e+06,1000,4738060774675.62
"405",30,1e+06,5000,4750389576255.24
"406",30,1e+06,10000,4795757343564.03
"407",30,1e+06,20000,4816196964489.61
"408",30,5e+06,0,5608207195543.72
"409",30,5e+06,100,5008348276509.43
"410",30,5e+06,500,4929666796150.92
"411",30,5e+06,1000,4774042884907.99
"412",30,5e+06,5000,4765086853663.38
"413",30,5e+06,10000,4795140654275.2
"414",30,5e+06,20000,4803068672727.24
"415",30,1e+08,0,5338628235996.23
"416",30,1e+08,100,5253325650357.54
"417",30,1e+08,500,4901161198710.41
"418",30,1e+08,1000,4842529767469.56
"419",30,1e+08,5000,4844303211274.68
"420",30,1e+08,10000,4827918891891.71
"421",30,1e+08,20000,4805628191251.54
"422",10,0,0,5170306068553.65
"423",10,0,100,4494629026124.18
"424",10,0,500,4459941155838.95
"425",10,0,1000,4327079578349.93
"426",10,0,5000,4291126297411.12
"427",10,0,10000,4264636889873.14
"428",10,0,20000,4289899197126.01
"429",10,1e+05,0,5170052908427.07
"430",10,1e+05,100,4494416358818.35
"431",10,1e+05,500,4461548078323.63
"432",10,1e+05,1000,4327163029446.39
"433",10,1e+05,5000,4248363750632.07
"434",10,1e+05,10000,4311518799117.6
"435",10,1e+05,20000,4334936923530.87
"436",10,5e+05,0,5169062857389.96
"437",10,5e+05,100,4552790757812.92
"438",10,5e+05,500,4390052211875.34
"439",10,5e+05,1000,4284221115429.66
"440",10,5e+05,5000,4270326683149.65
"441",10,5e+05,10000,4277226317074.81
"442",10,5e+05,20000,4307574037471.49
"443",10,1e+06,0,5043192695640.5
"444",10,1e+06,100,4432127536016.25
"445",10,1e+06,500,4595261246473.92
"446",10,1e+06,1000,4205584284586.03
"447",10,1e+06,5000,4261867873949.13
"448",10,1e+06,10000,4308896432675.06
"449",10,1e+06,20000,4315029228037.43
"450",10,5e+06,0,4848755117894.62
"451",10,5e+06,100,4502768972313.63
"452",10,5e+06,500,4422443664794.15
"453",10,5e+06,1000,4197755447006.37
"454",10,5e+06,5000,4266627087801.64
"455",10,5e+06,10000,4329318982149.02
"456",10,5e+06,20000,4351124660694.65
"457",10,1e+08,0,4489451932335.87
"458",10,1e+08,100,4591051009851.55
"459",10,1e+08,500,4577522350206.88
"460",10,1e+08,1000,4633601484946.17
"461",10,1e+08,5000,4504154565003.91
"462",10,1e+08,10000,4447632402440.72
"463",10,1e+08,20000,4437840992000.31
"464",15,0,0,5023621977293.71
"465",15,0,100,4613151189919.17
"466",15,0,500,4486609119025.13
"467",15,0,1000,4405491276642.56
"468",15,0,5000,4302263016674.82
"469",15,0,10000,4265006115695.06
"470",15,0,20000,4270908354100.15
"471",15,1e+05,0,5022789893783.99
"472",15,1e+05,100,4590695164405.2
"473",15,1e+05,500,4459570982287.82
"474",15,1e+05,1000,4408054391987.27
"475",15,1e+05,5000,4262641656413.94
"476",15,1e+05,10000,4322647526287.11
"477",15,1e+05,20000,4314661865241.52
"478",15,5e+05,0,5037563699220.77
"479",15,5e+05,100,4482174861837.23
"480",15,5e+05,500,4533062018111.79
"481",15,5e+05,1000,4325720452558.02
"482",15,5e+05,5000,4271999717461.66
"483",15,5e+05,10000,4255426398029.45
"484",15,5e+05,20000,4297336397299.77
"485",15,1e+06,0,4972376494911.32
"486",15,1e+06,100,4559135738487.38
"487",15,1e+06,500,4366210342299.43
"488",15,1e+06,1000,4312587903855.73
"489",15,1e+06,5000,4265659056276.4
"490",15,1e+06,10000,4342944444695.91
"491",15,1e+06,20000,4243748336567.22
"492",15,5e+06,0,5015954680049.02
"493",15,5e+06,100,4583236250675.43
"494",15,5e+06,500,4505040120031.82
"495",15,5e+06,1000,4258949133715.76
"496",15,5e+06,5000,4262924822400.71
"497",15,5e+06,10000,4306109256418.07
"498",15,5e+06,20000,4327270130196.42
"499",15,1e+08,0,4710187198678.1
"500",15,1e+08,100,4562287440328.67
"501",15,1e+08,500,4636159242733.42
"502",15,1e+08,1000,4664903214413.73
"503",15,1e+08,5000,4531480545334.86
"504",15,1e+08,10000,4473451692015.36
"505",15,1e+08,20000,4442239243067.66
"506",20,0,0,5387148240995.51
"507",20,0,100,4595280750701.21
"508",20,0,500,4280865659948.47
"509",20,0,1000,4535428723850.54
"510",20,0,5000,4326224662727.44
"511",20,0,10000,4289226221003.81
"512",20,0,20000,4361050913969.22
"513",20,1e+05,0,5383452166546
"514",20,1e+05,100,4703385558217.24
"515",20,1e+05,500,4424040548558.44
"516",20,1e+05,1000,4535444604151.15
"517",20,1e+05,5000,4276520841184.43
"518",20,1e+05,10000,4252724940131.27
"519",20,1e+05,20000,4254303245491.78
"520",20,5e+05,0,5132578967321.81
"521",20,5e+05,100,4564224209329.64
"522",20,5e+05,500,4489788868536.37
"523",20,5e+05,1000,4447786432046.17
"524",20,5e+05,5000,4299908313496.13
"525",20,5e+05,10000,4276911283609.55
"526",20,5e+05,20000,4277768124255.56
"527",20,1e+06,0,4996948799406.87
"528",20,1e+06,100,4495702103203.69
"529",20,1e+06,500,4323940935705.91
"530",20,1e+06,1000,4487180839107.05
"531",20,1e+06,5000,4252710160223.92
"532",20,1e+06,10000,4271714980729.65
"533",20,1e+06,20000,4257988256229.92
"534",20,5e+06,0,4831228880033.62
"535",20,5e+06,100,4760524420929.41
"536",20,5e+06,500,4411824036299.36
"537",20,5e+06,1000,4380799128449.12
"538",20,5e+06,5000,4318627607703.4
"539",20,5e+06,10000,4232155948445.45
"540",20,5e+06,20000,4252147390035.31
"541",20,1e+08,0,5002392367659.73
"542",20,1e+08,100,4659929085699.66
"543",20,1e+08,500,4672609951632.83
"544",20,1e+08,1000,4662969810124.94
"545",20,1e+08,5000,4540155013001.48
"546",20,1e+08,10000,4453560702453.01
"547",20,1e+08,20000,4486482165660.1
"548",25,0,0,4899333779847.4
"549",25,0,100,4566902414376.3
"550",25,0,500,4582246770543.2
"551",25,0,1000,4427380745370.42
"552",25,0,5000,4306940189790.92
"553",25,0,10000,4293374459821.28
"554",25,0,20000,4300689598651.97
"555",25,1e+05,0,4895916065415.33
"556",25,1e+05,100,4592148571989.19
"557",25,1e+05,500,4582277092606.17
"558",25,1e+05,1000,4339418842627.12
"559",25,1e+05,5000,4426773791886.56
"560",25,1e+05,10000,4282054954639.83
"561",25,1e+05,20000,4340337889266.92
"562",25,5e+05,0,4888539510885.28
"563",25,5e+05,100,4734256694604.66
"564",25,5e+05,500,4571228608463.34
"565",25,5e+05,1000,4379099847343.69
"566",25,5e+05,5000,4508926063120.55
"567",25,5e+05,10000,4273660516187.9
"568",25,5e+05,20000,4316305717311.06
"569",25,1e+06,0,5048874809678.6
"570",25,1e+06,100,4641925105550.91
"571",25,1e+06,500,4530694901555.55
"572",25,1e+06,1000,4374048849135.82
"573",25,1e+06,5000,4273391872721.22
"574",25,1e+06,10000,4276800424461.05
"575",25,1e+06,20000,4311494353582.2
"576",25,5e+06,0,5016808514379.56
"577",25,5e+06,100,4618004397692.68
"578",25,5e+06,500,4618901667778.03
"579",25,5e+06,1000,4320320118429.81
"580",25,5e+06,5000,4360899372462.77
"581",25,5e+06,10000,4277893653933.77
"582",25,5e+06,20000,4325032159449.09
"583",25,1e+08,0,4716219825306.03
"584",25,1e+08,100,4857307271167.1
"585",25,1e+08,500,4738988759902.36
"586",25,1e+08,1000,4696166560117.13
