,1,2,3,4,5,6,7,8,9,10
1,7.6198E+12,6.9347E+12,7.15855E+12,6.83897E+12,7.54434E+12,6.7242E+12,6.7789E+12,6.27655E+12,7.18036E+12,6.6222E+12
2,6.60984E+12,7.65015E+12,6.96228E+12,7.21286E+12,7.22742E+12,6.64788E+12,7.34507E+12,7.17682E+12,6.72839E+12,6.49126E+12
3,6.79632E+12,6.62893E+12,7.32958E+12,6.49239E+12,6.95095E+12,6.50959E+12,6.63092E+12,6.35203E+12,6.76985E+12,6.94119E+12
4,6.71319E+12,7.01929E+12,6.98932E+12,6.30283E+12,7.40012E+12,6.74911E+12,6.39835E+12,7.27302E+12,6.33049E+12,6.78458E+12
5,6.95004E+12,6.53461E+12,6.57651E+12,6.63814E+12,7.24123E+12,7.13291E+12,6.71253E+12,6.55489E+12,6.5326E+12,7.22001E+12
