"","mse","rmse","opt_para"
"1",6534036981658.24,2556176.24229204,20000
"2",6701123528992.01,2588652.84057017,50000
"3",6373591201118.72,2524597.23542563,40000
"4",6527663020534.27,2554929.16154915,20000
"5",6346926017012.69,2519310.62336757,30000
"6",7175821731893.4,2678772.43003085,40000
"7",6438597526987.12,2537439.16715005,20000
"8",7057344842136.94,2656566.36320965,30000
"9",6342784405724.44,2518488.51609938,20000
"10",6923043637695.68,2631167.73271787,30000
"11",6734268378041.18,2595046.89322586,40000
"12",6514848927375.83,2552420.20979615,50000
"13",7652799171417.96,2766369.31218844,50000
"14",6664555380340.45,2581580.01625757,40000
"15",6395600180371.69,2528952.38792107,20000
"16",6506802829774.35,2550843.55258694,20000
"17",6403990277769.35,2530610.65313678,50000
"18",5963847996922.91,2442099.0964584,30000
"19",6414418059047.95,2532670.14414589,30000
"20",6054087399775.09,2460505.51711942,50000
"21",6915861520751.34,2629802.56307414,20000
"22",6528459996258.29,2555085.12505128,20000
"23",6196993446664.07,2489376.11595035,30000
"24",6317350071374.25,2513433.92023229,40000
"25",7136790925912.86,2671477.2927938,20000
"26",6608669194700.9,2570733.20177355,10000
"27",6325122057455.73,2514979.53420216,10000
"28",5829123229260.95,2414357.72603418,40000
"29",6383742262915.51,2526606.86750343,10000
"30",6464353969828.84,2542509.38441313,20000
"31",6132371241198.38,2476362.50197712,50000
"32",7515959807893.63,2741525.08795627,50000
"33",6929974814639.36,2632484.5326496,50000
"34",7410213740341.7,2722170.77721838,10000
"35",6610319653210.01,2571054.19102943,50000
"36",6785354614122.81,2604871.32390888,30000
"37",6887406658848.69,2624386.91104202,40000
"38",7145234589281.8,2673057.16161885,50000
"39",6000408352269.08,2449573.09592285,30000
"40",6167974693189.17,2483540.75730381,10000
"41",6554793228113.19,2560233.04175874,30000
"42",6475908216147.6,2544780.58310488,40000
"43",6813422156286.64,2610253.27435608,40000
"44",6165400503038.08,2483022.45318847,30000
"45",6748651607147.89,2597816.70006717,30000
"46",6674311466032.95,2583468.88234268,20000
"47",6215964546336.38,2493183.61665088,50000
"48",6795890267952.75,2606892.83783449,30000
"49",6551873351027.42,2559662.74165708,40000
"50",6262445232590.75,2502487.80867974,30000
"51",6677913612408.67,2584165.94134523,20000
"52",6899235790164.6,2626639.63842865,20000
"53",7514545974245.66,2741267.22051055,30000
"54",6470776223231.12,2543772.04623982,40000
"55",6574206162034.35,2564021.482366,20000
"56",6733577483786.92,2594913.77193673,50000
"57",6203969608740.28,2490776.9086653,10000
"58",6310792113288.13,2512129.0001288,20000
"59",6709483398388.55,2590267.05155831,40000
"60",6192216085019.57,2488416.38095789,40000
"61",6928754871057.8,2632252.81290719,10000
"62",7094530833679.76,2663556.05041076,30000
"63",6859376931161.04,2619041.22364674,20000
"64",6332776201043.2,2516500.78502734,30000
"65",6654207838220.48,2579575.12746198,10000
"66",6122463924241.57,2474361.31642927,30000
"67",7133698904232.04,2670898.52001757,10000
"68",6374549247145.93,2524786.97064642,20000
"69",5838799283718.1,2416360.75198181,40000
"70",7147897457309.23,2673555.20932507,10000
"71",6426378635502.11,2535030.30267926,50000
"72",7186753718622.46,2680812.13788331,50000
"73",6393104287981.92,2528458.87607094,40000
"74",6974482411399.51,2640924.53724061,30000
"75",7742693667955.96,2782569.6160125,20000
"76",6893548842914.86,2625556.86339391,30000
"77",6446360665756.43,2538968.42551388,40000
"78",6194941302150.62,2488963.90133538,40000
"79",7177333703618.21,2679054.62871107,20000
"80",6807681344134.87,2609153.37688969,10000
"81",6701700272048.07,2588764.23647424,20000
"82",7157138729401.06,2675282.92511298,40000
"83",6214047111545.92,2492799.05157755,20000
"84",7514154089143.76,2741195.7407569,20000
"85",6360979401343.51,2522098.21405581,30000
"86",6585093757156.55,2566143.75223925,40000
"87",6361772843246.59,2522255.5071298,10000
"88",6752795037637.09,2598614.06092499,50000
"89",6826821231988.63,2612818.63740839,20000
"90",7116849802507.19,2667742.45430611,10000
"91",6594834025797.82,2568040.89254782,50000
"92",6726058484327.75,2593464.57163535,10000
"93",6122121995357.59,2474292.22109224,20000
"94",6968889570826.03,2639865.44559113,50000
"95",6832760120616.61,2613954.88113636,40000
"96",6737781169772.41,2595723.63123897,30000
"97",6952420961116.87,2636744.38676123,30000
"98",6979705182818.53,2641913.16716098,50000
"99",6612266574220.53,2571432.78625371,40000
"100",6531732534081.83,2555725.44184265,20000
