"","yearID","l_W","l_L","l_GS","l_CG","l_SHO","l_SV","l_IPouts","l_H","l_ER","l_HR","l_BB","l_SO","l_IBB","l_WP","l_HBP","l_BK","l_BFP","l_GF","l_R","l_SH","l_SF","l_GIDP","l_ERA","l_BAOpp","round","po_W","po_L","po_G","po_GS","po_CG","po_SHO","po_SV","po_IPouts","po_H","po_ER","po_HR","po_BB","po_SO","po_IBB","po_WP","po_HBP","po_BK","po_BFP","po_GF","po_R","po_SH","po_SF","po_GIDP","po_ERA","po_BAOpp","GP","n_award","Rank","W","PPF","salary","WHIP","FIP","ERC","ERAP","kwERA","BSR","l_GM","attendance.f","career","years_old","teamID.1","teamID.2","teamID.3","teamID.4","teamID.5","teamID.6","teamID.7","teamID.8","teamID.9","teamID.10","teamID.11","teamID.12","teamID.13","teamID.14","teamID.15","teamID.16","teamID.17","teamID.18","teamID.19","teamID.20","teamID.21","teamID.22","teamID.23","teamID.24","teamID.25","teamID.26","teamID.27","teamID.28","teamID.29","teamID.30","teamID.31","teamID.32","teamID.33","throws.1","throws.2"
"6715",2012,1,5,0,0,0,32,163,45,17,4,11,65,1,3,2,0,218,52,18,2,1,4,2.8159509202454,0.206422018348624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,81,106,6500000,1.03067484662577,2.42699386503068,2.3819218691957,18820.2094038141,8.31743119266055,20.2545288639596,57,1,9,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"6716",2013,3,1,0,0,0,6,103,26,9,4,17,38,1,3,0,0,140,16,9,0,0,4,2.35922330097087,0.185714285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,81,102,7e+06,1.25242718446602,3.89902912621359,3.28634791262136,21615.9730417617,7.28571428571429,17.380730415265,40,1,10,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"6717",2014,1,1,0,0,0,0,41,17,10,1,6,14,1,2,1,0,62,8,10,0,1,1,6.58536585365854,0.274193548387097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,64,102,7e+06,1.68292682926829,3.41951219512195,5.75970794649882,7743.97480816508,6.94838709677419,9.28657204542842,18,1,11,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"6718",2015,3,2,0,0,0,0,175,52,26,6,20,58,3,0,1,1,243,19,28,1,4,1,4.01142857142857,0.213991769547325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,74,97,521200,1.23428571428571,3.47428571428571,3.27862736507936,12089.7226546557,7.37530864197531,29.3408806965614,57,2,1,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
"6719",2004,4,0,0,0,0,1,99,34,13,3,8,24,1,0,4,0,141,4,13,0,1,2,3.54545454545455,0.24113475177305,1,0,1,6,0,0,0,0,24,12,8,1,3,7,1,0,0,0,38,0,8,1,0,0,9,0.315789473684211,0,0,2,92,101,316000,1.27272727272727,3.92727272727273,4.01913094777563,14242.7259880886,6.5063829787234,17.2043311636961,25,3,0,26,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"6720",2005,6,4,0,0,0,0,239,73,29,7,23,60,2,1,6,0,329,19,33,4,3,9,3.27615062761506,0.221884498480243,1,1,0,9,0,0,0,0,39,8,3,1,4,10,2,0,0,0,47,0,3,0,0,2,2.07692307692308,0.170212765957447,0,0,2,89,100,376000,1.20502092050209,3.85271966527197,3.42432500922028,15260.8880353523,6.60364741641337,37.4434951149551,77,2,1,27,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"6721",2006,7,3,0,0,0,0,266,76,37,10,28,56,6,0,6,0,356,13,38,4,4,17,3.75563909774436,0.213483146067416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,82,99,441000,1.17293233082707,4.35037593984962,3.36039937272958,13179.3809116432,6.3438202247191,43.9059282925098,81,3,2,28,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"6722",2007,6,5,0,0,0,5,248,84,28,10,25,78,5,2,3,0,345,16,29,6,2,11,3.04838709677419,0.243478260869565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,73,100,1312500,1.31854838709677,3.72016129032258,4.07476067321178,16401.1217498885,7.31304347826087,48.9768325446348,79,3,3,29,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"6723",2008,4,8,0,0,0,9,221,61,23,4,18,71,2,6,3,0,300,21,29,4,3,13,2.80995475113122,0.203333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,82,108,2535000,1.07239819004525,2.75203619909502,2.3968804841629,19216.2259290629,7.48,25.7285685272677,77,2,4,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"6724",2009,2,2,0,0,0,24,156,53,21,5,7,45,2,2,2,0,217,44,23,1,0,5,3.63461538461538,0.244239631336406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,70,106,4185000,1.15384615384615,3.12307692307692,3.16528791208791,14581.1263040944,7.50138248847926,25.4294334527156,51,1,5,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
