"","yearID","l_W","l_L","l_GS","l_CG","l_SHO","l_SV","l_IPouts","l_H","l_ER","l_HR","l_BB","l_SO","l_IBB","l_WP","l_HBP","l_BK","l_BFP","l_GF","l_R","l_SH","l_SF","l_GIDP","l_ERA","l_BAOpp","round","po_W","po_L","po_G","po_GS","po_CG","po_SHO","po_SV","po_IPouts","po_H","po_ER","po_HR","po_BB","po_SO","po_IBB","po_WP","po_HBP","po_BK","po_BFP","po_GF","po_R","po_SH","po_SF","po_GIDP","po_ERA","po_BAOpp","GP","n_award","Rank","W","PPF","salary","WHIP","FIP","ERC","ERAP","kwERA","BSR","l_GM","attendance.f","career","years_old","teamID.1","teamID.2","teamID.3","teamID.4","teamID.5","teamID.6","teamID.7","teamID.8","teamID.9","teamID.10","teamID.11","teamID.12","teamID.13","teamID.14","teamID.15","teamID.16","teamID.17","teamID.18","teamID.19","teamID.20","teamID.21","teamID.22","teamID.23","teamID.24","teamID.25","teamID.26","teamID.27","teamID.28","teamID.29","teamID.30","teamID.31","teamID.32","teamID.33","throws.1","throws.2","stint.1","stint.2","stint.3","stint.4"
"3392",2004,3,3,5,0,0,0,138,45,23,4,17,32,2,1,2,0,195,2,23,4,2,6,4.5,0.230769230769231,1,1,0,5,0,0,0,0,25,8,2,1,4,7,0,0,0,0,37,0,2,0,0,0,2.16,0.216216216216216,0,0,1,105,99,323500,1.34782608695652,4.04782608695652,3.90640481605351,10999.3329412962,6.32307692307692,24.2830755021935,9,3,1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"4477",2014,4,5,13,1,0,0,244,100,33,7,12,72,0,1,1,0,352,0,40,7,3,4,3.6516393442623,0.284090909090909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,73,101,2.5e+07,1.37704918032787,3.02786885245902,4.27384109363357,13828.5665240946,7.41136363636364,47.9084503254263,0,2,12,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"7150",2002,2,3,0,0,0,1,73,29,18,5,13,30,1,0,0,0,114,10,19,1,3,2,6.65753424657534,0.254385964912281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,72,107,2500000,1.72602739726027,4.88493150684932,6.43406286950252,8035.52091324958,7.29473684210526,23.3149155750561,30,1,4,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"7157",2009,2,5,0,0,0,37,227,70,37,8,41,61,4,5,2,0,330,65,38,4,2,12,4.40088105726872,0.212121212121212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,86,102,5500000,1.46696035242291,4.50837004405286,4.3099881978374,11587.885836872,6.2,44.8751451694302,73,2,7,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"2327",1999,4,8,15,0,0,0,241,98,50,8,27,53,1,2,3,1,369,0,59,2,4,4,5.60165975103734,0.265582655826558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,69,102,3e+05,1.55601659751037,4.25809128630705,5.08459791519077,9103.89233545262,6.18048780487805,54.6504163249824,6,0,11,33,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"2761",2004,3,3,0,0,0,1,150,50,28,5,23,37,2,3,1,0,216,16,28,1,4,5,5.04,0.231481481481481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,92,102,550000,1.46,4.34,4.39693625,10118.4339827941,6.23333333333333,29.835097923388,55,1,4,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
"1348",2004,2,2,0,0,0,0,106,41,19,5,15,22,3,2,3,0,163,11,22,1,1,4,4.83962264150943,0.251533742331288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,58,103,320500,1.58490566037736,5.06792452830189,5.56289898136358,10640.6802279879,5.91533742331288,26.9557095481587,30,0,1,27,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"8425",2004,9,9,21,0,0,0,349,148,66,16,26,51,4,0,9,1,518,0,70,2,4,13,5.10601719197708,0.285714285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,67,104,358000,1.49570200573066,4.91060171919771,5.50090934606321,10183.4452718418,5.86332046332046,86.5677991622635,0,0,3,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"132",1999,4,5,0,0,0,21,233,79,28,4,29,46,6,1,4,0,325,49,28,3,1,12,3.24463519313305,0.243076923076923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,64,95,380000,1.39055793991416,3.72789699570815,3.95778012545395,14638.6624973299,6.10153846153846,37.3381675072615,73,0,2,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
"9355",2000,6,15,29,0,0,0,502,201,109,32,53,88,6,2,2,1,726,0,112,8,7,18,5.86254980079681,0.276859504132231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,82,125,3e+06,1.51792828685259,5.51274900398406,5.70096410391492,10660.2437535344,6.04462809917355,141.486048498183,0,3,2,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"8011",2001,9,4,0,0,0,0,241,80,23,4,29,78,9,3,4,1,342,16,25,2,3,5,2.57676348547718,0.233918128654971,1,1,0,10,0,0,0,0,34,7,5,0,3,4,1,0,0,0,43,4,5,0,0,1,3.97058823529412,0.162790697674419,1,0,1,95,100,2500000,1.35684647302905,2.80165975103734,3.60691633544442,19403.01009261,7.29473684210526,37.094244954726,76,3,12,34,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"5033",2000,1,0,0,0,0,0,70,23,13,4,12,17,1,1,1,0,103,7,16,1,1,4,5.01428571428571,0.223300970873786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,95,99,205000,1.5,5.51428571428571,5.1266785852982,9871.19622936837,5.98252427184466,17.5455494804681,15,3,0,22,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"3651",2005,8,14,29,0,0,0,479,172,98,18,70,88,0,4,7,0,706,0,101,1,6,14,5.52400835073069,0.243626062322946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,56,101,325000,1.51565762004175,5.01002087682672,4.99078405465825,9141.3579393762,5.58696883852691,105.345653613292,0,0,3,27,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
