"","yearID","l_W","l_L","l_GS","l_CG","l_SHO","l_SV","l_IPouts","l_H","l_ER","l_HR","l_BB","l_SO","l_IBB","l_WP","l_HBP","l_BK","l_BFP","l_GF","l_R","l_SH","l_SF","l_GIDP","l_ERA","l_BAOpp","round","po_W","po_L","po_G","po_GS","po_CG","po_SHO","po_SV","po_IPouts","po_H","po_ER","po_HR","po_BB","po_SO","po_IBB","po_WP","po_HBP","po_BK","po_BFP","po_GF","po_R","po_SH","po_SF","po_GIDP","po_ERA","po_BAOpp","GP","n_award","Rank","W","PPF","salary","WHIP","FIP","ERC","ERAP","kwERA","BSR","l_GM","attendance.f","career","years_old","teamID.1","teamID.2","teamID.3","teamID.4","teamID.5","teamID.6","teamID.7","teamID.8","teamID.9","teamID.10","teamID.11","teamID.12","teamID.13","teamID.14","teamID.15","teamID.16","teamID.17","teamID.18","teamID.19","teamID.20","teamID.21","teamID.22","teamID.23","teamID.24","teamID.25","teamID.26","teamID.27","teamID.28","teamID.29","teamID.30","teamID.31","teamID.32","teamID.33","throws.1","throws.2","stint.1","stint.2","stint.3","stint.4","b1.WHIP","b1.FIP","b1.ERC","b1.ERAP","b1.kwERA","b1.BSR","b1.round","b1.Rank","b1.attendance.f","b1.l_GM","b1.salary","b2.WHIP","b2.FIP","b2.ERC","b2.ERAP","b2.kwERA","b2.BSR","b2.round","b2.Rank","b2.attendance.f","b2.l_GM","b2.salary"
"29",2015,1,5,8,0,0,0,143,48,31,10,13,31,1,1,0,0,196,1,31,3,1,6,5.85314685314685,0.244897959183673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,67,97,2750000,1.27972027972028,5.38181818181818,4.42096448908235,8285.63849401104,6.56326530612245,35.702498969396,1,1,9,36,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1.375,4.64318181818182,4.53971887510425,10591.9502397667,6.42228047182176,120.816514897765,0,3,1,0,2750000,1.27168576104746,3.65171849427169,3.62527890397172,11568.3787475695,6.67421236872812,106.96265362118,0,3,1,0,2750000
"30",2014,3,2,0,0,0,37,229,46,14,4,23,62,0,0,1,0,285,49,17,3,0,13,1.65065502183406,0.16140350877193,1,0,0,6,0,0,0,2,14,5,2,0,5,5,2,0,0,0,24,4,2,1,0,1,3.85714285714286,0.208333333333333,0,0,1,96,100,3200000,0.903930131004367,3.2,1.60009639163411,30289.1683929392,7,19.7403521415252,71,2,3,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1.725,4.875,6.13579230769231,10605.4174365115,5.46593406593407,30.5720872844759,0,3,1,1,521500,1.5414364640884,4.27734806629834,4.69660980662983,10153.5236692704,6.37777777777778,37.795214992304,0,2,1,1,486000
"31",2000,0,1,0,0,0,0,53,21,10,4,7,15,0,0,1,0,81,9,11,1,1,0,5.09433962264151,0.259259259259259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,86,94,1750000,1.58490566037736,5.80377358490566,6.31758710691824,9225.3664500905,6.43703703703704,16.6328136776186,13,2,12,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1.3021978021978,4.88131868131868,3.9428031438406,13615.4705809364,6.33385214007782,37.2363975861714,1,1,3,61,1250000,1.17961165048544,3.44757281553398,2.74158552326988,16419.2941007754,6.68113879003559,26.4237899669357,0,5,3,64,850000
"32",2010,4,2,0,0,0,2,157,41,13,5,18,54,3,1,0,0,208,13,13,1,3,5,2.23566878980892,0.197115384615385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,86,97,435000,1.12738853503185,3.23821656050955,2.67957155193533,21692.4166489251,7.65,22.6823627895313,56,3,2,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1.41176470588235,4.85882352941177,4.85953093297975,10178.3950730625,6.87540983606557,41.5637093065713,1,1,3,69,411000,0.727272727272727,1.10909090909091,0.628777272727272,60496.331177129,9.3,1.17017643710871,0,4,3,12,4e+05
"33",2007,8,7,19,0,0,1,383,133,67,21,49,66,4,2,8,0,561,7,71,1,7,10,4.72323759791123,0.237076648841355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,88,101,9e+05,1.42558746736292,5.54986945169713,4.92038513843705,10691.1703142912,5.67807486631016,92.2373094373466,17,3,8,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,4.36666666666667,2.86928125,33331.3119433218,6.9,3.37594316079974,0,2,2,3,385000,1.76373626373626,5.80439560439561,6.74928183980967,6740.33197076062,5.85360824742268,55.9463179937383,0,3,0,16,315000
"34",2005,17,9,33,0,0,0,667,188,59,17,41,171,0,2,3,0,875,0,66,10,4,19,2.38830584707646,0.214857142857143,1,1,1,4,4,0,0,0,76,27,12,3,6,16,0,0,1,0,106,0,12,2,0,3,4.26315789473684,0.254716981132075,0,0,2,89,100,16428416,1.02998500749625,3.24947526236882,2.40398634534162,20934.0725670392,7.14171428571429,84.7105408989382,0,2,10,33,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1.2289156626506,3.59759036144578,3.11889986419667,12935.9438898549,7.13410404624277,39.9415271075788,0,2,3,0,8500000,1.3296,3.4736,3.88638953607143,12071.151652114,7.16785714285714,119.218735009701,1,1,3,0,5500000
"35",2007,1,4,0,0,0,47,193,46,19,7,26,78,1,1,3,0,265,59,21,0,1,5,2.6580310880829,0.173584905660377,1,0,1,4,0,0,0,1,14,2,1,0,4,8,0,0,0,0,21,3,1,0,0,0,1.92857142857143,0.0952380952380952,0,3,1,90,107,4700000,1.11917098445596,3.49533678756477,2.77221480594389,20126.4597351327,7.66415094339623,28.4339124551463,65,1,4,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1.45945945945946,3.26081081081081,4.42021659192825,8992.51020137534,7.98295964125561,31.7221266189657,0,4,1,44,2e+06,1.07035175879397,2.86834170854271,2.43130257068927,21495.6099708552,7.81791044776119,24.9446592499466,0,2,1,61,359000
"36",2000,3,2,0,0,0,1,223,61,39,8,45,71,4,4,3,0,324,27,44,2,6,6,4.7219730941704,0.188271604938272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,79,95,355000,1.42600896860987,4.46457399103139,4.01500005605381,10058.7442096762,6.4,41.4952986673118,69,2,2,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1.78947368421053,7.01578947368421,6.34034046052632,8883.72050267145,5.2,34.7358911549773,0,3,1,37,255000,1.56818181818182,4.06363636363636,4.38171353678538,15429.6198204294,6.32783505154639,23.4745115813077,0,5,0,42,240000
"37",2009,7,5,5,0,0,1,277,101,44,11,45,62,1,2,2,0,409,9,49,2,1,14,4.28880866425993,0.246943765281174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,86,102,950000,1.5812274368231,4.90036101083033,5.27549043630233,11890.6930258411,5.86943765281174,64.6896208334007,46,2,3,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1.38983050847458,4.49661016949153,4.11876557557191,12056.8084928313,5.70648330058939,64.0014961823971,0,5,3,32,437500,1.45341614906832,3.66583850931677,3.94825350985222,16728.4093676035,6.22758620689655,27.6987110411141,0,2,3,33,410000
"38",2013,18,6,30,3,3,0,571,193,56,14,29,117,0,1,0,0,769,0,60,3,6,21,2.64798598949212,0.250975292587776,1,0,1,1,1,0,0,0,18,10,3,0,0,4,0,0,1,0,26,0,3,0,0,1,4.5,0.384615384615385,0,0,1,96,93,9e+06,1.16637478108581,3.38388791593695,3.07127271002667,17559.4509734743,6.77321196358908,85.6105694464708,0,0,16,40,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1.20787746170678,3.86958424507659,3.44629755171132,14152.7176928688,6.72075471698113,82.8332476925549,0,1,0,0,3e+06,1.29006085192698,3.94847870182556,3.95006280214063,13255.9185657086,7.04265129682997,98.8985532920626,0,1,3,3,2e+06
