"","yearID","stint","teamID","lgID","l_W","l_L","l_G","l_GS","l_CG","l_SHO","l_SV","l_IPouts","l_H","l_ER","l_HR","l_BB","l_SO","l_IBB","l_WP","l_HBP","l_BK","l_BFP","l_GF","l_R","l_SH","l_SF","l_GIDP","l_ERA","l_BAOpp","round","po_W","po_L","po_G","po_GS","po_CG","po_SHO","po_SV","po_IPouts","po_H","po_ER","po_HR","po_BB","po_SO","po_IBB","po_WP","po_HBP","po_BK","po_BFP","po_GF","po_R","po_SH","po_SF","po_GIDP","po_ERA","po_BAOpp","birthYear","birthCountry","throws","debut","GP","n_award","divID","Rank","G","W","attendance","PPF","salary","WHIP","FIP","ERC","ERAP","kwERA","BSR"
"131",2013,1,6,2,2,4,43,0,0,0,2,109,50,23,8,14,27,1,4,1,0,171,10,28,0,2,6,5.69724770642202,0.292397660818713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1984,1,1,2010,0,0,1,5,162,51,1651883,101,493400,1.76146788990826,5.73211009174312,7.27690028971511,8440.2494958408,6.31228070175439,37.9556412729026
"132",1998,1,19,1,12,13,32,32,2,1,0,624,221,100,39,24,95,2,3,4,6,845,0,109,8,3,15,4.32692307692308,0.261538461538462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1972,1,2,1993,0,0,1,5,162,65,3610290,99,775000,1.17788461538462,5.09903846153846,3.98785423816568,10893.1888597206,6.37988165680473,140.960087962948
"133",1999,1,19,1,8,2,31,19,2,1,1,390,144,66,18,28,75,3,0,1,2,549,4,69,4,0,10,4.56923076923077,0.262295081967213,1,0,0,1,1,0,0,0,21,7,2,1,0,4,0,0,0,0,28,0,2,0,0,0,2.57142857142857,0.25,1972,1,2,1993,0,0,1,1,162,100,3019654,101,1800000,1.32307692307692,4.44615384615385,4.22587592686003,10523.9140919783,6.47103825136612,84.064407704947
"134",2000,1,19,1,11,7,33,32,2,0,0,640,226,96,38,39,104,7,1,3,4,876,0,101,6,6,25,4.05,0.257990867579909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1972,1,2,1993,0,0,1,3,162,85,2942251,103,2250000,1.2421875,5.0328125,4.14921574914383,12108.245408694,6.34520547945205,145.833824939001
"135",2001,1,19,1,4,9,29,22,1,0,0,400,156,77,25,30,55,2,2,1,1,571,1,93,7,4,14,5.1975,0.273204903677758,1,1,1,4,1,0,0,0,38,12,4,2,4,4,0,1,1,0,54,0,4,1,0,2,2.84210526315789,0.222222222222222,1972,1,2,1993,0,0,1,1,162,92,2736451,107,4125000,1.395,5.465,5.00098385310858,9801.40405041175,5.94640980735552,104.311996964311
"136",2002,1,19,1,6,11,35,24,0,0,0,468,174,83,23,32,81,3,2,1,5,659,1,86,6,8,13,4.78846153846154,0.264036418816388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1972,1,2,1993,0,0,1,1,162,98,3198977,111,5375000,1.32051282051282,4.65512820512821,4.28468887737831,11036.3633025647,6.32867981790592,103.680489449403
"137",2003,2,18,2,14,11,32,31,2,1,0,593,212,83,27,43,87,3,3,4,1,821,0,110,3,12,25,3.77908937605396,0.258221680876979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1972,1,2,1993,0,0,2,4,162,68,1730002,97,1500000,1.29005059021922,4.76323777403035,4.14260731627411,12220.3483007397,6.02850182704019,123.335181254855
"138",2004,1,25,2,6,12,35,26,2,1,0,498,217,104,33,53,70,4,2,1,0,745,2,123,5,7,22,5.63855421686747,0.291275167785235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1972,1,2,1993,0,0,2,5,162,58,1661478,103,3250000,1.62650602409639,5.84457831325301,6.36234230775451,8696.98011566772,5.72214765100671,154.040313933336
"139",2005,1,25,2,1,2,6,6,0,0,0,92,39,23,7,4,17,1,0,0,1,133,0,24,0,1,2,6.75,0.293233082706767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1972,1,2,1993,0,0,2,5,162,56,1371181,101,3250000,1.40217391304348,5.35217391304348,5.35529310232102,7123.88030841609,6.66315789473684,27.1273872114046
"140",2009,1,7,2,11,11,30,30,1,1,0,526,180,79,20,45,150,1,0,3,1,735,0,94,4,4,24,4.05513307984791,0.244897959183673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1988,1,2,2009,0,0,1,4,162,75,1408783,99,4e+05,1.28326996197719,3.77604562737643,3.83844854504539,11623.2906122465,7.08163265306122,99.7426437586399
"141",2010,1,7,2,7,6,19,19,0,0,0,337,112,35,6,22,75,2,4,7,2,470,0,41,3,2,12,2.80415430267062,0.238297872340426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1988,1,2,2009,0,0,1,2,162,81,1418391,100,410000,1.19287833827893,3.28011869436202,3.16255569732938,16978.4134648955,6.62553191489362,46.848524790811
"142",2011,1,7,2,3,6,13,13,1,0,0,250,86,37,8,25,61,1,0,7,1,356,0,40,4,1,8,3.996,0.241573033707865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1988,1,2,2009,0,0,1,3,162,74,1476791,98,1250000,1.332,4.1,4.19974438876405,11676.1484851615,6.41123595505618,45.9820992650383
"143",2012,1,7,2,4,2,6,6,0,0,0,105,29,10,1,7,25,1,1,1,0,137,0,11,0,0,3,2.57142857142857,0.211678832116788,1,1,0,1,1,0,0,0,18,2,0,0,2,6,0,0,0,0,21,0,0,0,0,1,0,0.0952380952380952,1988,1,2,2009,0,0,1,1,162,94,1679013,97,3250000,1.02857142857143,2.74285714285714,2.13140392075078,17959.5843913906,6.97664233576642,10.1523741803408
"144",2013,1,7,2,1,4,16,5,0,0,3,134,51,30,5,21,46,1,0,0,0,200,4,32,1,0,6,6.04477611940298,0.255,1,0,0,1,0,0,0,0,1,1,1,0,1,1,0,1,0,0,3,1,1,0,0,0,27,0.333333333333333,1988,1,2,2009,0,0,1,1,162,96,1809302,93,5750000,1.61194029850746,3.93880597014925,5.27052749253731,7324.90069335655,6.96,31.6473656368403
"145",2014,1,27,1,1,3,8,8,0,0,0,130,44,14,1,13,29,3,0,0,0,180,0,18,1,1,6,2.90769230769231,0.244444444444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1988,1,2,2009,0,0,1,4,162,66,2680329,116,8e+06,1.31538461538462,2.85384615384615,3.20126667307692,18993.6554191857,6.66666666666667,17.3750135253603
"146",2015,1,24,1,10,9,31,31,1,0,0,541,194,74,18,46,116,2,4,2,2,750,0,82,3,2,23,3.69316081330869,0.258666666666667,1,0,1,1,1,0,0,0,9,7,6,1,0,3,0,0,0,0,16,0,6,0,0,0,18,0.4375,1988,1,2,2009,0,0,1,1,162,92,3764815,98,1e+07,1.33086876155268,3.97634011090573,4.05241944251386,12633.5926609447,6.52,102.419530035149
