"","yearID","stint","teamID","lgID","l_W","l_L","l_G","l_GS","l_CG","l_SHO","l_SV","l_IPouts","l_H","l_ER","l_HR","l_BB","l_SO","l_IBB","l_WP","l_HBP","l_BK","l_BFP","l_GF","l_R","l_SH","l_SF","l_GIDP","l_ERA","l_BAOpp","round","po_W","po_L","po_G","po_GS","po_CG","po_SHO","po_SV","po_IPouts","po_H","po_ER","po_HR","po_BB","po_SO","po_IBB","po_WP","po_HBP","po_BK","po_BFP","po_GF","po_R","po_SH","po_SF","po_GIDP","po_ERA","po_BAOpp","birthYear","birthCountry","throws","debut","GP","n_award","divID","Rank","G","W","attendance","PPF","salary","WHIP","FIP","ERC","ERAP","kwERA","BSR"
"1565",2004,1,3,2,4,4,56,1,0,0,0,196,61,41,13,30,58,2,8,3,0,281,12,45,0,1,9,5.64795918367347,0.217081850533808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1980,1,2,2003,0,0,2,2,162,83,1930537,102,301000,1.39285714285714,5.43469387755102,4.84325435398359,9261.63421957075,6.55302491103203,49.3763041049282
"1566",2005,1,3,2,4,0,69,0,0,0,0,181,38,13,1,29,58,5,3,4,0,248,10,15,0,3,6,1.93922651933702,0.153225806451613,1,1,0,6,0,0,0,0,7,1,0,0,1,2,0,0,0,0,9,2,0,0,0,0,0,0.111111111111111,1980,1,2,2003,0,0,2,1,162,99,2342833,103,330000,1.11049723756906,2.88508287292818,2.02659834588309,27238.7821165919,6.85161290322581,14.9018497453326
"1567",2006,1,3,2,1,2,70,0,0,0,1,162,64,31,12,24,43,6,3,3,0,251,14,33,3,1,3,5.16666666666667,0.254980079681275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1980,1,2,2003,0,0,2,3,162,90,2957414,104,400000,1.62962962962963,5.66296296296296,6.24151885790173,10322.9042368309,6.45179282868526,51.3501934803704
"1568",2007,1,2,1,0,1,16,0,0,0,0,50,15,9,1,9,14,0,0,3,0,76,4,9,1,2,4,4.86,0.197368421052632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1980,1,2,2003,0,0,2,1,162,85,3252462,104,825000,1.44,4.46,4.41202939473684,10974.2809102112,5.71578947368421,8.09733321875627
"1569",2008,1,2,1,0,2,50,0,0,0,0,107,38,17,7,13,43,2,3,1,0,160,7,18,3,0,2,4.28971962616822,0.2375,1,0,0,2,0,0,0,0,5,1,0,0,1,3,0,0,0,0,7,1,0,0,0,0,0,0.142857142857143,1980,1,2,2003,0,0,2,1,161,97,3300200,107,825000,1.42990654205607,4.34953271028037,4.87438620327103,12791.8651501026,7.725,28.2590620937243
"1570",2009,1,2,1,0,2,19,0,0,0,0,33,14,9,3,9,9,0,0,1,0,55,3,9,0,0,2,7.36363636363636,0.254545454545455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1980,1,2,2003,0,0,2,2,161,83,3168859,106,1100000,2.09090909090909,7.83636363636364,9.63893090909091,7382.31435075362,5.18181818181818,14.0723417285463
"1571",2013,1,24,2,8,3,58,0,0,0,1,171,36,7,2,18,65,1,3,0,0,223,6,8,2,3,2,1.10526315789474,0.161434977578475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1980,1,2,2003,0,0,1,2,163,91,3178273,103,1100000,0.947368421052632,2.27017543859649,1.52823238140194,47791.4859078009,7.98295964125561,13.8776369286117
"1572",2014,1,24,2,2,9,73,0,0,0,2,200,66,32,6,23,63,3,4,3,2,286,18,33,2,1,5,4.32,0.230769230769231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1980,1,2,2003,0,0,1,5,162,67,2718733,101,2200000,1.335,3.515,3.83724454545454,11989.9295040649,7.07832167832168,35.4752571673723
"1573",2015,2,13,1,1,0,68,0,0,0,0,190,58,24,12,22,58,2,2,4,0,269,10,26,3,2,5,3.41052631578947,0.215613382899628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1980,1,2,2003,0,0,2,4,162,68,2542558,101,3000000,1.26315789473684,4.96842105263158,4.21206103697906,15187.2440384822,6.91672862453532,43.4104092085086
"1574",2007,1,19,1,4,2,64,0,0,0,0,123,38,20,3,27,38,0,6,4,0,187,9,22,2,2,6,4.39024390243902,0.203208556149733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1980,1,2,2007,0,0,2,5,162,72,2058593,104,380000,1.58536585365854,4.56585365853659,4.87755683448546,12148.5289676038,5.84919786096257,23.2091006122995
