"","mse","rmse","ntree_opt_para","mtry_opt_para"
"1",5922717203355.92,2433663.3299115,800,60
"2",4962250983316.83,2227611.0484815,800,60
"3",5319458257578.7,2306395.0783807,800,45
"4",4906440491349.36,2215048.64311133,900,60
"5",5042995592201.23,2245661.5043682,800,60
"6",4373125307289.55,2091201.88104581,1000,60
"7",4653236260139.38,2157136.12461972,1000,60
"8",4807813178654.7,2192672.61091452,900,60
"9",4026518846333.87,2006618.75958884,800,45
"10",5359326726582.51,2315021.97107987,800,60
"11",4918831587506.23,2217843.90512638,800,60
"12",4315769220321.05,2077442.9523626,1000,60
"13",4528921967331.1,2128126.39834458,1000,60
"14",5472019532990.6,2339234.81783907,800,60
"15",5314397973631.46,2305297.8058445,800,45
"16",5576216539225.3,2361401.39307685,800,45
"17",4678593246229.13,2163005.60476138,900,45
"18",5398833726044.8,2323539.05197326,1000,30
"19",4936843475693.38,2221900.86990698,800,60
"20",4692996666405.67,2166332.53827885,800,60
"21",5041633826994.05,2245358.28477195,800,60
"22",5195489095073.17,2279361.55426759,1000,60
"23",4761973370905.18,2182194.62260019,1000,60
"24",4972373886334.54,2229882.03417457,1000,45
"25",4804885759958.13,2192004.96348848,1000,60
"26",5247412468261.71,2290723.13217065,900,60
"27",4910940035354.61,2216064.08647282,900,60
"28",5281532647735.33,2298158.5340736,800,60
"29",4228387831463.27,2056304.41118607,800,60
"30",4581066867368.39,2140342.69858086,1000,60
"31",5272571623167.09,2296208.09666003,1000,60
"32",4970127243033.27,2229378.2189286,1000,60
"33",5778950067608.71,2403944.68896618,1000,60
"34",4792308084772.38,2189134.0947444,1000,60
"35",4737016083829.39,2176468.71878035,900,60
"36",5299116200995.89,2301980.92976373,900,60
"37",4480237217233.66,2116657.08541409,1000,60
"38",5037388673371.43,2244412.76804678,800,60
"39",5586273166724.39,2363529.81083895,800,60
"40",5367161525859.93,2316713.51829697,1000,60
"41",4979190961284.7,2231410.08362083,900,60
"42",5089243734982.19,2255935.22402178,1000,60
"43",4360200670761.18,2088109.35316165,1000,60
"44",5661800946839.76,2379453.91778025,900,60
"45",4662733412726.94,2159336.33617529,1000,60
"46",5014681572855.86,2239348.47061726,1000,60
"47",4310183568313.72,2076098.15960463,900,45
"48",4900466014351.07,2213699.62152752,1000,60
"49",5096666675813.87,2257579.82711883,800,60
"50",4108667897426.99,2026984.92777499,900,60
"51",4759125922033.89,1375483.20480072,900,60
"52",4867304470234.62,1355441.35954586,800,60
"53",4836108670118.68,1366115.00779427,1000,60
"54",5894811839384.65,1461630.88115893,1000,45
"55",5236914471583.76,1451203.52462298,900,60
"56",4935912886918.89,1369699.6589453,800,60
"57",4234167386981.83,1306658.9083286,800,60
"58",4881978482118.93,1383604.5411252,800,60
"59",5233191408051.2,1389010.56716193,1000,60
"60",5118480552994.7,1399849.68534601,800,60
"61",5176100617604.87,1387803.94823685,1000,60
"62",5619461668004.88,1454259.51842859,800,45
"63",5431518432205.54,1418318.47359765,900,45
"64",5129158618632.68,1382015.5944726,800,60
"65",4781282858131.11,1345458.16784009,1000,45
"66",4774211768087.24,1378906.88422755,1000,60
"67",5536687158712.13,1471462.37837015,900,60
"68",5104193289668.7,1393992.89557304,900,60
"69",5061958998287.83,1402539.56160194,1000,60
"70",5555648268281.7,1442783.03475866,900,60
"71",5170708685115.14,1415930.8869154,1000,60
"72",4633833790116.97,1374478.50624901,900,60
"73",5108355208998.91,1328575.49866272,800,60
"74",5023747180621.63,1376301.01450098,800,60
"75",4534781715519.04,1320521.03699199,1000,60
"76",5279125449380.82,1410572.86210059,900,60
"77",4955514989672.58,1388459.55058543,1000,60
"78",5131312916040.22,1398645.11617269,1000,60
"79",4726607077829.99,1319309.72356382,1000,60
"80",4896297550911.72,1413842.8713803,800,60
"81",4868671647628.31,1374974.19972768,900,60
"82",4758697392388.1,1372885.96268723,1000,60
"83",5518540352774.52,1446281.60067444,900,60
"84",5061750906812.22,1395123.50627833,800,60
"85",4862420657325.78,1395623.53195743,1000,60
"86",4450488740964.59,1340987.26872256,900,60
"87",5022318137837.28,1371341.78766952,900,60
"88",4624489688527.5,1334342.43494002,800,60
"89",4984876834846.17,1391594.39542542,900,45
"90",5044009933667.67,1385219.16451421,1000,60
"91",5112467031664.17,1399912.24527245,1000,60
"92",5143344378626.09,1421070.23232473,900,60
"93",5166892676701.06,1385533.54175893,900,60
"94",4281453255536.53,1299659.91027476,1000,60
"95",5296365276200.36,1390047.21698199,800,45
"96",4740163592071.97,1379059.7725662,800,60
"97",5261082344068.49,1479491.99032978,900,60
"98",5330663056876.44,1459930.28936492,1000,60
"99",5315399571761.69,1434474.87709283,1000,45
"100",5127736409577.03,1369035.16038219,900,45
