"","X","MSE","MAE","L1","L2","nleaf"
"1",1,5839196451164.74,2416442.93356262,2e+06,5000,5
"2",2,5159237588195.78,2271395.51557975,5e+07,2500,10
"3",3,5289752848484.86,2299946.27078218,1e+07,2500,7
"4",4,4968683470689.06,2229054.38935192,1e+07,7500,5
"5",5,5120561325678.51,2262865.73302052,1e+07,2500,10
"6",6,4323054290255.4,2079195.58730183,2e+06,5000,10
"7",7,4576261701785.22,2139219.8815889,2e+06,2500,7
"8",8,4866105083272.9,2205924.99493362,5e+06,7500,5
"9",9,3970058561702.1,1992500.58010082,1e+07,5000,5
"10",10,5324944755316.98,2307584.18163173,5e+06,7500,7
"11",11,5136379365082.94,2266358.17228499,2e+06,2500,5
"12",12,4430382426169.98,2104847.36410268,2e+06,5000,10
"13",13,4669134205593.55,2160817.94827643,1e+07,2500,5
"14",14,5485370556692.97,2342086.79529452,1e+07,2500,5
"15",15,5204411390141.44,2281317.90641757,1e+07,2500,10
"16",16,5648079135141.27,2376568.77349284,5e+07,5000,5
"17",17,4697086315710.38,2167276.24351636,5e+06,7500,10
"18",18,5135035669312.99,2266061.70906994,5e+06,7500,10
"19",19,4937132377002.56,2221965.88115177,2e+06,5000,10
"20",20,4663440559938.71,2159500.07176168,5e+06,7500,5
"21",21,5001655105074.38,2236438.03962336,2e+06,5000,7
"22",22,4995842872464.7,2235138.22222803,2e+06,5000,5
"23",23,4719442807349.22,2172427.86010243,1e+07,7500,10
"24",24,4895050428069.61,2212476.08531021,1e+07,7500,10
"25",25,4888864579555.65,2211077.69640862,1e+07,2500,7
"26",1,4985948205348.73,2232923.68999676,5e+06,7500,7
"27",2,4893996600744.57,2212237.91684904,2e+06,7500,10
"28",3,5196263495652.52,2279531.42019419,1e+07,5000,5
"29",4,4353471647597.49,2086497.45928374,2e+06,2500,5
"30",5,4699878647311.52,2167920.35077664,2e+06,7500,10
"31",6,5095738819139.42,2257374.31967749,1e+07,5000,10
"32",7,4974304752352.3,2230314.94465519,5e+06,2500,7
"33",8,5795290161025.6,2407340.89007469,1e+07,7500,5
"34",9,4644343871572.73,2155073.98285366,5e+07,7500,10
"35",10,4652699797185.58,2157011.77492975,2e+06,5000,10
"36",11,5385804932498.51,2320733.70564107,2e+06,2500,5
"37",12,4506390027603.41,2122825.95320563,5e+06,7500,7
"38",13,5024891790975.33,2241627.04100734,1e+07,7500,5
"39",14,5526847944669.21,2350924.912597,1e+07,7500,7
"40",15,5345326601992.84,2311996.23745214,2e+06,2500,10
"41",16,4991972952344.27,2234272.3541109,5e+06,5000,5
"42",17,4939409731730.16,2222478.28599745,2e+06,2500,5
"43",18,4614497345869.82,2148138.11145136,1e+07,2500,7
"44",19,5532881832015.83,2352207.86326715,2e+06,5000,5
"45",20,4706325852042.33,2169406.79727024,2e+06,7500,5
"46",21,4816085731385.23,2194558.20870289,1e+07,7500,5
"47",22,4448962395667.32,2109256.36082182,1e+07,2500,7
"48",23,5108067239655.72,2260103.36924127,1e+07,7500,10
"49",24,5042681765397.65,2245591.6292589,5e+06,5000,10
"50",25,4195700985010.74,2048341.03239933,5e+06,7500,5
"51",1,5007780291850.43,2237807.02739321,5e+07,7500,10
"52",2,5039999495692.69,2244994.3197462,5e+06,5000,10
"53",3,4677691715239.3,2162797.19697416,2e+06,5000,10
"54",4,5739943402247.07,2395817.89839025,2e+06,5000,10
"55",5,5176750988031.93,2275247.45643895,1e+07,7500,10
"56",6,4870032291067.39,2206814.96529895,1e+07,5000,10
"57",7,4553137818174.74,2133808.28993018,2e+06,5000,10
"58",8,4735315843129.44,2176078.08755326,5e+06,5000,7
"59",9,5121307995368.52,2263030.7102133,5e+06,5000,10
"60",10,5144804725072.44,2268216.19892647,5e+07,7500,5
"61",11,4816508962768.8,2194654.63405266,2e+06,7500,10
"62",12,5821410871129.25,2412760.01109295,1e+07,2500,7
"63",13,5547906739533.36,2355399.48618772,5e+06,5000,5
"64",14,4954089572385.54,2225778.41942668,5e+06,5000,5
"65",15,4836041570954.16,2199100.1730149,5e+06,5000,5
"66",16,4525695052517.46,2127368.1046113,2e+06,7500,5
"67",17,5389768440335.49,2321587.48280901,5e+06,2500,5
"68",18,4811609235201.62,2193538.0633127,5e+07,5000,5
"69",19,4772316883764.38,2184563.31649242,1e+07,7500,10
"70",20,5510909432512.54,2347532.62650651,2e+06,7500,10
"71",21,4993209273634.63,2234549.00900263,1e+07,7500,5
"72",22,4579416922798.63,2139957.22452544,5e+06,2500,10
"73",23,5079644297586.15,2253806.62382249,1e+07,2500,10
"74",24,5294831823417.53,2301050.15664968,1e+07,2500,7
"75",25,4783953180183.12,2187224.99532698,2e+06,7500,7
"76",1,5196849453374.52,2279659.94248583,5e+07,2500,7
"77",2,4954222137742.42,2225808.19877689,1e+07,2500,7
"78",3,5222635730524.19,2285308.67292018,2e+06,7500,10
"79",4,5070724745807.16,2251826.97954509,2e+06,2500,5
"80",5,4998761347742.37,2235790.98927927,5e+06,7500,10
"81",6,4851169594867.93,2202537.08138318,1e+07,5000,7
"82",7,4488201741460.61,2118537.64220998,1e+07,7500,10
"83",8,5347780400826.05,2312526.84326605,5e+07,5000,5
"84",9,5174079361723.69,2274660.27391426,2e+06,7500,10
"85",10,4975996503946.59,2230694.17535138,1e+07,2500,5
"86",11,4592436725209.06,2142997.13607113,5e+06,2500,7
"87",12,4852610498008.68,2202864.15786555,2e+06,2500,7
"88",13,4778824356381.2,2186052.23093621,5e+06,5000,5
"89",14,4855941787194.1,2203620.15492555,2e+06,7500,7
"90",15,5395803389565.73,2322886.86542538,5e+06,2500,10
"91",16,5128369105810.73,2264590.27327478,2e+06,2500,5
"92",17,5278271968875.29,2297449.01333529,2e+06,5000,10
"93",18,5267325393068.55,2295065.44417987,2e+06,7500,5
"94",19,4338788823904.05,2082975.9537508,2e+06,5000,5
"95",20,5074492178447.69,2252663.35222281,5e+06,5000,10
"96",21,4664879300971.29,2159833.1650781,5e+06,7500,7
"97",22,5342839024560.97,2311458.20307462,5e+07,7500,10
"98",23,5704268444191.15,2388361.03723686,5e+07,2500,10
"99",24,5217010130207.93,2284077.52281045,5e+06,2500,10
"100",25,4803033849224.48,2191582.49884062,5e+06,5000,5
